latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
37.76267,-122.43919,Apartment,Entire home/apt,1,1,2,299.0
37.7303,-122.42464,House,Private room,1,1,30,30.0
37.75587,-122.43602,Apartment,Entire home/apt,1,1,5,225.0
37.75131,-122.437,House,Entire home/apt,1,1,7,159.0
37.79954,-122.40679,Apartment,Entire home/apt,1,1,30,125.0
37.79026,-122.4364,House,Entire home/apt,2,3,7,325.0
37.80345,-122.40798,Condominium,Entire home/apt,1,2,1,600.0
37.76641,-122.44667,Apartment,Entire home/apt,1,0,30,90.0
37.72606,-122.43232,House,Private room,0,1,2,48.0
37.76065,-122.42414,Apartment,Entire home/apt,1,2,4,365.0
37.78633,-122.43217,Apartment,Entire home/apt,1,1,30,139.0
37.78278,-122.39337,Loft,Entire home/apt,1,1,30,250.0
37.76892,-122.44615,Apartment,Entire home/apt,1,3,30,189.0
37.76592,-122.40628,House,Entire home/apt,1,1,3,298.0
37.76295,-122.44259,Cottage,Private room,1,1,3,99.0
37.80432,-122.44601,Condominium,Private room,1,1,60,165.0
37.78525,-122.43051,Apartment,Private room,1,1,30,99.0
37.76052,-122.42939,House,Entire home/apt,2,4,4,595.0
37.72836,-122.44797,House,Private room,1,1,1,95.0
37.76479,-122.43611,Apartment,Private room,1,1,1,119.0
37.74271,-122.41955,Condominium,Entire home/apt,1,1,2,160.0
37.77307,-122.44293,Guest suite,Entire home/apt,1,1,3,190.0
37.75711,-122.40963,House,Private room,1,1,30,83.0
37.76174,-122.44339,Apartment,Private room,1,1,2,125.0
37.72965,-122.42539,House,Private room,1,1,30,40.0
37.73019,-122.42317,House,Private room,1,1,30,45.0
37.75813,-122.4355,Apartment,Entire home/apt,1,1,2,115.0
37.77093,-122.42823,Condominium,Private room,1,1,4,90.0
37.76079,-122.43447,Apartment,Entire home/apt,1,2,30,270.0
37.72636,-122.43342,Apartment,Private room,1,1,30,85.0
37.7586,-122.43332,Apartment,Private room,1,1,2,95.0
37.79178,-122.39502,Apartment,Entire home/apt,2,2,30,500.0
37.76055,-122.44221,Apartment,Entire home/apt,1,3,3,549.0
37.75139,-122.41194,House,Entire home/apt,1,1,31,200.0
37.75131,-122.40795,House,Private room,1,1,3,70.0
37.76588,-122.44281,House,Entire home/apt,3,4,5,672.0
37.76648,-122.44542,Guest suite,Entire home/apt,1,1,3,130.0
37.74587,-122.41626,House,Entire home/apt,2,3,4,390.0
37.74498,-122.41927,House,Private room,1,1,3,102.0
37.76196,-122.39411,Guest suite,Entire home/apt,1,1,4,250.0
37.74248,-122.41069,Apartment,Entire home/apt,1,0,6,149.0
37.76016,-122.42265,Apartment,Entire home/apt,2,2,2,355.0
37.75666,-122.43607,House,Entire home/apt,3,3,2,700.0
37.74002,-122.41813,Condominium,Entire home/apt,1,2,3,169.0
37.72042,-122.46914,House,Private room,1,1,30,60.0
37.74987,-122.44027,Apartment,Entire home/apt,2,2,30,189.0
37.79363,-122.42493,Apartment,Entire home/apt,1,1,30,130.0
37.76318,-122.40708,Apartment,Private room,1,1,3,99.0
37.77044,-122.43599,Condominium,Entire home/apt,1,1,3,289.0
37.75635,-122.40996,Guest suite,Entire home/apt,1,1,30,119.0
37.78377,-122.47522,House,Private room,1,1,2,132.0
37.75906,-122.40761,Apartment,Private room,0,1,31,68.0
37.78135,-122.48266,Apartment,Entire home/apt,1,1,3,140.0
37.78321,-122.41969,Apartment,Entire home/apt,1,0,30,124.0
37.79418,-122.40582,House,Shared room,2,1,30,30.0
37.79455,-122.406,House,Shared room,2,1,30,30.0
37.79478,-122.40592,House,Shared room,2,1,30,30.0
37.77884,-122.50535,Condominium,Private room,2,1,2,128.0
37.76003,-122.4357,Apartment,Private room,1,1,2,116.0
37.75941,-122.43363,Condominium,Private room,1,1,1,109.0
37.75978,-122.4351,Condominium,Entire home/apt,1,4,1,350.0
37.7748,-122.42711,Apartment,Entire home/apt,1,1,30,250.0
37.75925,-122.50893,House,Entire home/apt,2,2,4,324.0
37.74054,-122.43121,Apartment,Entire home/apt,2,3,30,190.0
37.77407,-122.4331,Apartment,Entire home/apt,1,1,30,110.0
37.75385,-122.50806,Apartment,Private room,1,1,30,57.0
37.77346,-122.42917,House,Private room,3,1,1,89.0
37.78101,-122.44083,House,Entire home/apt,1,3,3,425.0
37.72594,-122.43327,Condominium,Entire home/apt,2,2,6,225.0
37.80041,-122.41569,Serviced apartment,Hotel room,1,0,30,148.0
37.73853,-122.47166,Apartment,Entire home/apt,1,1,2,160.0
37.74687,-122.40964,Guest suite,Entire home/apt,1,1,3,145.0
37.80139,-122.41534,Condominium,Entire home/apt,2,4,1,490.0
37.76717,-122.42419,Apartment,Entire home/apt,1,2,3,280.0
37.76731,-122.42542,Condominium,Private room,1,1,1,125.0
37.77297,-122.40301,Apartment,Entire home/apt,1,0,31,170.0
37.79472,-122.40519,House,Shared room,2,1,30,30.0
37.72376,-122.42926,House,Private room,1,3,2,90.0
37.75756,-122.4364,Guest suite,Entire home/apt,1,0,1,199.0
37.73962,-122.41484,House,Entire home/apt,2,3,3,230.0
37.73429,-122.43491,House,Entire home/apt,1,4,2,675.0
37.73895,-122.41274,Apartment,Entire home/apt,1,2,2,195.0
37.756,-122.40022,Apartment,Entire home/apt,2,3,4,205.0
37.76099,-122.42183,Apartment,Entire home/apt,1,1,30,125.0
37.75613,-122.44066,Condominium,Private room,2,3,3,399.0
37.77296,-122.43497,Condominium,Entire home/apt,2,3,3,375.0
